中文名称,,英文名称,博物馆简介,地理位置,所属省份,所属城市,建造时间,占地面积,博物馆类别,联系电话,相关历史人物或故事,藏品种类,藏品数量,代表藏品名称,代表藏品基本信息,开放时间,门票价格,游玩时长,游玩季节,公交路线,经度,纬度,,,,,,,,,,,,,
洛阳隋唐大运河博物馆,,Grand Canal Museum of Sui and    Tang Dynasties in Luoyang,"洛阳隋唐大运河博物馆位于河南省洛阳市，是依托洛河北岸的全国重点文物保护单位——古建筑群山陕会馆筹建而成的。
",洛阳九都东路171号 ,河南省,洛阳市,"
2014年4月 ",暂无,"
文化",0379-63532448  0379-63483078,"
洛阳山陕会馆始建于清康熙雍正年间，现有琉璃照壁、东西仪门、山门、东西僧房、舞楼、东西廊房、东西官厅、拜殿、正殿、东西配殿，是一组结构严谨、风格独特的古建筑群，是清朝初年山西、陕西商人为经商方便，在洛阳古运河（今洛河）北岸边、紧邻洛阳当时的南关码头和洛汭严关，集资筹建的经商聚会场所。","
洛阳与大运河的关系",暂无,"
大运河水系浮雕图",为让游客更加清晰地了解大运河的分布和流向，洛阳隋唐大运河博物馆还在会馆中央广场上，制作了一块150平方米左右的大运河水系浮雕图。在浮雕图上，大运河的流向及其沿线城市一目了然。,周二至周日 9:00:—17:00   ,免费,1-3小时,四季皆宜,乘公交7路、16路、17路、23路、57路到九都东路南门口街口站下可到,112.488457,34.68176898,,,,,,,,,,,,,
偃师商城博物馆,,Shangcheng Museum in Yanshi ,偃师商城博物馆(Shangcheng Museum in Yanshi)是中国历史类专题博物馆。位于河南省洛阳市偃师市城西南。1985年10月兴建，1987年4月建成开放。该馆主体建筑为一座“四阿重屋”式仿古宫殿建筑群，殿堂居中，廊庑相连，青砖青瓦。古朴典雅，院内苍松翠柏，繁华似锦，古色古香，景色宜人。馆址占地面积约16000平方米，建筑面积3100平方米，展室面积1100平方米，1985年10月动工兴建，1987年4月建成,偃师市商都东路52号 ,河南省,洛阳市,1987/4/1,"
16000",历史,0379-67711935,"偃师商城博物馆是中国唯一一座集夏商研究、陈列、宣传为主的历史类专题性博物馆，
馆址位于偃师市区西南隅，偃师商城遗址东100米处。馆舍为殿堂居中，廊庑相连的仿古宫殿建筑群，于1987年落成并正式对外开放。占地面积16000平方米，建筑面积5500平方米，展室面积2500平方米，展线长度470米，馆藏文物两万余件（套）。馆内拥有科学的管理体系，丰富的陈列内容，新颖的陈列形式，完善的服务设施和优美的欣赏环境，堪称“豫西明珠，华夏宝库”。",青铜器、玉器、象牙器、骨器、金银器、漆器、陶器等。,20000,乳钉纹青铜爵,二里头文化（约公元前21世纪-前13世纪）后期。饮酒器。高22.5厘米，宽31.5厘米。 1975年河南省偃师市二里头出土，现藏洛阳博物馆。长流尖尾，束腰平底，三锥足细长。流折处有两钉形短柱。腹部一面有凸线两道，两线之间横列五枚乳钉装饰。器壁甚薄。,夏上午8:30:—12:00  下午15:00—18:00　冬上午8:30—12:00   下午14:30—17:30,免费,3-4小时,四季皆宜,在洛阳坐至偃师的长途车，到偃师博物馆下车即到。,112.7866422,34.73191345,,,,,,,,,,,,,
新安县博物馆,,Xin'an County Museum,新安县博物馆位于新城世纪广场东侧，博物馆为四层框架结构，建筑面积4100多平方米，具有较强的文物保护和展示功能。,"
新安县新城世纪广场",河南省,洛阳市,"
2002年7月2日",4100,文化,0379-67293069,为更好地展示利用文物资源，服务“两个文明”建设，新安县委、县政府2002年7月2日正式动工兴建投资380万元的新安县博物馆。,唐三彩、瓷器、青铜器,5000,唐三彩,中国古代陶瓷烧制工艺的珍品，全名唐代三彩釉陶器，是盛行于唐代的一种低温釉陶器，釉彩有黄、绿、白、褐、蓝、黑等色彩，而以黄、绿、白三色为主，所以人们习惯称之为“唐三彩”。因唐三彩最早、最多出土于洛阳，亦有“洛阳唐三彩”之称,"9:00—17:00，周二到周日开放
周一闭馆（周一逢节假日开放）",免费,2-3小时,四季皆宜,701路，702路，990路,112.1410122,34.73146787,,,,,,,,,,,,,
新安县千唐志斋博物馆,,Qiantang zhizhai Museum of Xin'an County,千唐志斋博物馆位于洛阳新安县铁门镇西北隅，是辛亥革命元老张钫先生所建，为全国重点文物保护单位、国家AAAA级旅游景点、国家二级博物馆、中国唯一的墓志铭博物馆，以珍藏唐及历代墓志石刻一千四百余件而闻名于世，章炳麟曾用古篆为之题额《千唐志斋》。千唐志斋是研究唐代三百年文治武功和书法艺术的史料宝库，因其丰富的内涵被誉为“石刻唐书”、“唐书法演变史”等。,新安县铁门镇 ,河南省,洛阳市,2017年,15389,"
历史",0379-69729800,在十三朝朝古都洛阳以西45公里处，有一个风光旖旎、山明水秀的地方——铁门镇。这里西扼崤岭，东控函谷，已有千年历史，被章太炎誉为“当关洛孔道”。这里青龙、凤凰两山对峙，一肪涧水潺潺东流，素有洛阳西大门之称。,文章、书法、篆刻,1419,张子温墓志,"志盖为民国书法大家、西冷印社首任社长吴昌硕篆书,末尾于右任题记:“此盖篆就,吴仓老自矜为生平第一。此志不朽,老伯不朽,皆兄之孝心所感也,其珍惜之。伯英兄。于右任。”志文则有两方刻石,内容相同,一方中间断裂,一方完整,是因第一方墓志镌刻完毕,在搬运过程中石头裂为两片。于右任于是再次为其书写。两方志石同时镶嵌在墙壁之上.","每天8:00-17:00,每逢周一、除夕闭馆",免费,2-3小时,四季皆宜,703路，新安712路,112.027618,34.74373797,,,,,,,,,,,,,
张钫纪念馆,,Zhang Fang Memorial Hall,张钫纪念馆是一座布局严谨、独具特色的民国民居建筑群，占地4200平方米、有120余间。按照张钫的人生阶段，被分为12个展厅。张钫后人捐赠的数百件张钫遗物，被分散摆放在多个展厅。张钫印鉴、抗战胜利纪念章及张钫手书的《孙子笔法》、穿过的大棉袄、家传的象牙筷……这些旧物带着历史的味道，真实还原了张钫的一生。,新安县铁门镇,河南省,洛阳市,2011/10/10,4200,革命,0379-69729800,"他是辛亥革命元老，著名爱国将领、民主人士，千唐志斋创始人，曾任陕西“靖国军”副总司令，历任国民革命军二十路军总指挥、河南省民政厅、建设厅厅长、代主席等职。
1986年，他魂归故里，长眠于千唐志斋之侧。纪念馆由此诞生。
张钫纪念馆占地4200平方米，有房屋120余间，是一座布局严谨、独具特色的民国民居建筑群。纪念馆按照张钫的人生阶段，被分为12个展厅。数百件张钫遗物被分散摆放在多个展厅。张钫印鉴、抗战胜利纪念章及张钫手书的《孙子兵法》、穿过的大棉袄、家传的象牙筷等旧物带着历史的味道，真实还原了张钫的一生。",张钫事迹,暂未找到,张钫遗物,张钫后人捐赠的数百件张钫遗物，被分散摆放在多个展厅。张钫印鉴、抗战胜利纪念章及张钫手书的《孙子笔法》、穿过的大棉袄、家传的象牙筷……这些旧物带着历史的味道，真实还原了张钫的一生。,9:00—17:00，全年开放,成人票价20元/人,2-3小时,四季皆宜,703路，新安712路,112.02823,34.742633,,,,,,,,,,,,,
栾川常氏石刻艺术博物馆,,Luanchuan Chang's stone carving art museum,　常氏石刻艺术馆位于栾川县城，始建于2003年，总面积2.08亩，总投资15万元。该馆于1985年3月被公布为栾川县重点文物保护单位，2008年6月被公布为河南省重点文物保护单位。,栾川县,河南省,洛阳市,2003年,1386,历史,暂无,馆内现存36块石刻，是民国时期历任河南省建设厅厅长、财政厅厅长、中央军事参议院中将参议、国民参政会参政员等要职的常志箴，邀请林森、于右任、张学良等国民党原军政要员、书法名流，为其母关太夫人墓园撰写的楹联、墓表、题词的书法石刻真迹，是目前国内保存民国时期国民党军政要员题词较为集中完整的馆所，是在由文言向白话转换、繁体向简体过渡的特定条件下的文化遗产。,石刻,36,暂无,暂无,9:00—17:00，全年开放,免费,2-3小时,四季皆宜,暂无,111.6224267,33.79182246,,,,,,,,,,,,,
洛阳警察博物馆,,Luoyang Police Museum,  洛阳警察博物馆是社会各界全面了解洛阳公安工作的重要窗口，密切警民关系的桥梁，同时更是青少年法制教育、爱国主义教育的重要基地之一。博物馆设有洛阳公安史区、警种职能区、刑事侦查区和公安英烈区，全方位、多角度地展示洛阳公安所走过的艰辛历程以及自改革开放以来在维护洛阳稳定、保护人民安全、打击违法犯罪和维护法律尊严等方面做出的突出贡献。,西工区体育场路市公安局二楼 ,河南省,洛阳市,"
2005年4月29日 ","
400","
行业",0379-63133276,"
洛阳警察博物馆——坐落于洛阳市公安局二楼的洛阳警察博物馆开馆于2005年4月29日，博物馆设有洛阳公安史区、警种职能区、刑事侦查区和公安英烈区，全方位、多角度地展示洛阳公安所走过的艰辛历程以及自改革开放以来在维护洛阳稳定、保护人民安全、打击违法犯罪和维护法律尊严等方面做出的突出贡献。",警徽，警衔,1500,仿铜浮雕,长15米，宽3米，幅浮雕是以方形和直角为主，浮雕的中间镶着庄严地国徽，下面是人名警察誓词。浮雕象征着坚强、勇敢的人民警察对党和人民的热爱和忠诚,9:00—17:00，全年开放,免费,2-3小时,四季皆宜,市内乘坐8路、20路、26路、33路,112.45184,34.67560054,,,,,,,,,,,,,
洛阳日记博物馆,,Luoyang diary Museum,洛阳日记博物馆是我国第一个关于日记笔记的专题性博物馆，也是目前为止规模最大的日记博物馆，由闻名全国的“日记狂人”寇广生捐建，目前馆址定为洛阳市第一高级中学。,"
洛阳市第一高级中学",河南省,洛阳市,2013/10/14,暂无,行业,18623758651,"洛阳日记博物馆建成后将承担两大职能，一是面向全国日
记爱好者征集藏品，作日记史料的展示保护研究，
二是面向社会各界尤其是中小学生感受日记
文化倡导日记写作。","古今中外名人等的日记出版物、手
稿2000多册",6000,开国大典日记手稿,暂无,9:00—17:00，全年开放,免费,1小时内,四季皆宜,"乘31、44、72路公交车到
学府街关林路口南站下车，
乘57路公交车到学府街关林
路口站下车",112.4594213,34.62426278,,,,,,,,,,,,,
河洛古代石刻艺术博物馆,,Luoyang Ancient Stone Carving Art Museum,　该馆收藏、展览的古代石刻精品蕴含着民族精神、哲学智慧及科学思想，能给人以启迪和艺术享受，也为该校学生及社会人士了解中国传统文化、感受河洛文明搭建了一座平台。,"洛阳市洛阳师范学
院伊滨校区图书馆一楼",河南省,洛阳市,2019/9/10,暂无,行业,13938807053,"馆藏隋唐墓志提供了大量古代政治、经济、文化等方面的
新史料，成为史学家研究的新热点","墓志展区；鸳鸯志，主要展出夫妻
墓志古代石刻艺术品；古代明器",4473,颜真卿所书《王琳墓志》,"志全称《唐故赵郡君太原王氏墓志铭并
序》，石灰岩质，纵90厘米、横90.5
 厘米。四侧刻云纹饰，唯下侧有“开
元廿九年记”数字。志全文32行，满
行32字，有浅界格。",9:00—17:00，全年开放,免费,1-2小时,四季皆宜,"市内乘坐33路、53路、57
路、58路、81路",112.613118,34.635089,,,,,,,,,,,,,
洛阳碑志拓片博物馆,,Luoyang monument rubbing Museum,博物馆采取碑志和拓片相结合的陈列方式，将灿烂辉煌的中华文明、光彩夺目的河洛文化，多角度、多侧面的展现给世人大众。,"洛阳市洛龙区龙门
石窟入口处",河南省,洛阳市,"
2012年4月 ",1000,历史,13938889072,"千年帝王都，形胜绝佳地，自古钟灵毓秀，人文荟萃。洛
阳位于中国中州腹地、是古人认为的“天下之中”
有4000余年的建城史；以洛阳为中心的河洛地
区是华夏文明的主要发祥地。为中国四大古都之首
；自夏朝开始先后有13个王朝在此建都，“河图洛书”在此诞生“儒、释、道、玄、理”肇始于此；丝绸之路与隋唐大运河以洛阳为起点，邙山古墓群与天子驾六震惊世界；洛阳是中国优秀旅游城市和文明城市。洛阳丰富的文化遗存，深厚的文化积淀，形成了洛阳独特的历史文化风貌，中国（洛阳）碑志拓片博物馆更是展示洛阳历史文化和中国碑志书法的艺术殿堂",碑刻，墓志铭,3000,"
《升仙太子碑》",升仙太子碑，作者武则天，唐朝女皇帝。碑高6.70米，宽1.55米，厚0.55米，盘龙首龟座高1.3米。碑文创作于699年，记述周灵王太子晋升仙故事；共有34行，武则天亲书包括碑额在内的2129字，薛稷题写上下款33字，总字数2162字。,"夏季 9:00-18:30，冬季 9:00-18:00
全年开放（周一闭馆）",免费,2小时内,四季皆宜,"市内可乘坐2路; 16路; 23路
 33路; 36路; 62路到王城广场南站下，或乘坐4路; 5路; 9路; 18路内环; 18路外环; 21路; 48路; 56路; 59路; 61路; 81路; 86路; 101路电车到王城广场东站下车，然后步行至人民东路1号。",112.451692,34.67840229,,,,,,,,,,,,,
